Giá g?c;D? ?oán;;;;
41890;41890;;;;
41963;41963;;;;
41953;41953;;;;
41810;41810;;;;
41813;41813;;;;
41684;41684;;;;
41525;41525;;;;
41540;41540;;;;
41705;41705;;;;
41639;41639;;;;
41787;41787;;;;
41592;41592;;;;
41654;41654;;;;
41381;41381;;;;
41408;41408;;;;
41537;41537;;;;
41283;41283;;;;
41164;41164;;;;
41376;41376;;;;
41303;41303;;;;
41511;41511;;;;
41961;41961;;;;
41863;41863;;;;
41461;41461;;;;
41737;41737;;;;
41707;41707;;;;
41808;41808;;;;
42435;42435;;;;v
42057;42057;;;;
41822;41822;;;;
41707;41707;;;;
41701;41701;;;;
41750;41750;;;;
41908;41908;;;;
41494;41494;;;;
41587;41587;;;;
41553;41553;;;;
41411;41411;;;;
41329;41329;;;;
41286;41286;;;;
41256;41256;;;;
41084;41084;;;;
41080;41080;;;;
41263;41263;;;;
41258;41258;;;;
41068;41068;;;;
40268;40268;;;;
39845;39845;;;;
39518;39518;0;;;
39611;39611;0;;;
39784;39784;0;;;
39785;39785;0;;;
39668;39668;0;;;
39723;39723;0;;;
40269;40269;0;;;
40104;40104;0;;;
39529;39529;0;;;
39628;39628;100;;;
39694;39694;100;;;
39542;39542;0;;;
39271;39545;-0,697715872;;;
39581;39544;0,093479195;;;
39625;39543;0,206940063;;;
39705;39543;0,408009067;;;
39811;39541;0,678204516;;;
39692;39540;0,382948705;;;
39637;39539;0,247243737;;;
39177;39538;-0,921459019;;;
38851;39536;-1,76314638;;;
39202;39535;-0,849446457;;;
39415;39534;-0,301915514;;;
39147;39532;-0,983472552;;;
39327;39531;-0,518727592;;;
38822;39529;-1,821132348;;;
38896;39528;-1,624845742;;;
38655;39527;-2,255853059;;;
38328;39525;-3,123043206;;;
38254;39524;-3,319914257;;;
38357;39522;-3,03725526;;;
38593;39520;-2,401989998;;;
38523;39519;-2,585468421;;;
38642;39517;-2,26437555;;;
38713;39515;-2,071655516;;;
38490;39514;-2,660431281;;;
38394;39512;-2,91191332;;;
38469;39510;-2,706075021;;;
38253;39508;-3,280788435;;;
38169;39507;-3,505462548;;;
38398;39505;-2,882962654;;;
38006;39503;-3,93885176;;;
38194;39501;-3,422003456;;;
38011;39499;-3,914656284;;;
38079;39497;-3,723837286;;;
38328;39495;-3,044771446;;;
38344;39493;-2,99655748;;;
38207;39490;-3,358023399;;;
38406;39488;-2,817268135;;;
38355;39486;-2,948768088;;;
38095;39484;-3,646147788;;;
37976;39481;-3,963029282;;;
37970;39479;-3,97419015;;;
38005;39476;-3,87054335;;;
37818;39474;-4,378867206;;;
37828;39471;-4,343343555;;;
37738;39469;-4,586888547;;;
37825;39466;-4,338400529;;;
38093;39464;-3,599086446;;;
38160;39461;-3,40932914;;;
38860;39458;-1,538857437;;;
39013;39455;-1,132955681;;;
39119;39452;-0,851248754;;;
39302;39449;-0,374026767;;;
39485;39446;0,098771685;;;
39390;39443;-0,134551917;;;
39575;39440;0,341124447;;;
39752;39437;0,79241296;;;
39755;39434;0,807445604;;;
39838;39431;1,021637632;;;
39716;39427;0,727666432;;;
39723;39424;0,752712534;;;
39554;39421;0,336249178;;;
39491;39417;0,187384467;;;
39376;39413;-0,093965868;;;
39435;39410;0,063395461;;;
39363;39406;-0,109239641;;;
39382;39402;-0,050784622;;;
39088;39399;-0,795640606;;;
38870;39395;-1,350656033;;;
38482;39391;-2,36214334;;;
38040;39387;-3,541009464;;;
38043;39383;-3,522329995;;;
38008;39378;-3,604504315;;;
38037;39374;-3,514998554;;;
38039;39370;-3,499040458;;;
39002;39366;-0,933285473;;;
38750;39361;-1,576774194;;;
39739;39357;0,961272302;;;
40706;39352;3,326290964;;;
40840;39347;3,655729677;;;
40692;39343;3,315147941;;;
40879;39338;3,769661684;;;
40911;39333;3,857153333;;;
40927;39328;3,906956288;;;
40862;39323;3,766335471;;;
40061;39318;1,854671626;;;
40596;39313;3,160409893;;;
40340;39308;2,558254834;;;
40219;39302;2,280016907;;;
40167;39297;2,165957129;;;
40554;39292;3,111900182;;;
41033;39286;4,257548802;;;
40729;39281;3,555206364;;;
40943;39275;4,073956476;;;
40592;39269;3,259262909;;;
40684;39263;3,492773572;;;
40507;39258;3,083417681;;;
40762;39252;3,704430597;;;
40924;39246;4,100283452;;;
40777;39240;3,769281703;;;
42199;39234;7,026232849;;;
42519;39227;7,742421035;;;
42900;39221;8,575757576;;;
42792;39215;8,359039073;;;
42901;39209;8,605860003;;;
42702;39202;8,196337408;;;
42423;39196;7,606722768;;;
42780;39189;8,394109397;;;
42836;39183;8,527873751;;;
43270;39176;9,461520684;;;
43170;39169;9,268010192;;;
43293;39163;9,539648442;;;
